ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
12,Doha,Qatar Exxon Mobil Open,17/02/2025,ATP500,Outdoor,Hard,1st Round,3,O Connell C.,Habib H.,82,166,730,341,7,6,7,6,,,,,,,2,0,Completed,1.3,3.5,1.35,3.44,1.36,3.53,1.31,3.36
12,Doha,Qatar Exxon Mobil Open,17/02/2025,ATP500,Outdoor,Hard,1st Round,3,Lehecka J.,Dimitrov G.,25,15,1835,2745,6,4,6,4,,,,,,,2,0,Completed,1.73,2.1,1.71,2.24,1.77,2.29,1.71,2.12
12,Doha,Qatar Exxon Mobil Open,17/02/2025,ATP500,Outdoor,Hard,1st Round,3,Marozsan F.,Dougaz A.,57,216,1010,265,7,5,6,3,,,,,,,2,0,Completed,1.17,5,1.18,5.62,1.18,6,1.15,5.26
12,Doha,Qatar Exxon Mobil Open,17/02/2025,ATP500,Outdoor,Hard,1st Round,3,Alcaraz C.,Cilic M.,3,192,7410,313,6,4,6,4,,,,,,,2,0,Completed,1.03,17,1.04,16.61,1.05,17.37,1.03,12.75
12,Doha,Qatar Exxon Mobil Open,17/02/2025,ATP500,Outdoor,Hard,1st Round,3,Draper J.,Popyrin A.,16,27,2680,1800,6,2,7,6,,,,,,,2,0,Completed,1.4,3,1.44,2.97,1.44,3,1.41,2.85
12,Doha,Qatar Exxon Mobil Open,18/02/2025,ATP500,Outdoor,Hard,1st Round,3,De Minaur A.,Safiullin R.,8,71,3735,823,6,1,7,5,,,,,,,2,0,Completed,1.08,8,1.12,7.39,1.12,8.01,1.09,6.92
12,Doha,Qatar Exxon Mobil Open,18/02/2025,ATP500,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Shelbayh A.,87,267,672,201,7,5,6,3,,,,,,,2,0,Completed,1.2,4.5,1.21,4.9,1.21,4.93,1.19,4.51
12,Doha,Qatar Exxon Mobil Open,18/02/2025,ATP500,Outdoor,Hard,1st Round,3,Nardi L.,Zhang Zh.,85,49,674,1100,6,4,6,3,,,,,,,2,0,Completed,2.3,1.62,2.34,1.66,2.34,1.73,2.21,1.65
12,Doha,Qatar Exxon Mobil Open,18/02/2025,ATP500,Outdoor,Hard,1st Round,3,Borges N.,Virtanen O.,39,92,1345,639,7,6,6,3,,,,,,,2,0,Completed,1.4,3,1.46,2.9,1.46,3.1,1.41,2.87
12,Doha,Qatar Exxon Mobil Open,18/02/2025,ATP500,Outdoor,Hard,1st Round,3,Bergs Z.,Bautista Agut R.,58,54,1007,1052,6,4,7,6,,,,,,,2,0,Completed,1.73,2.1,1.74,2.2,1.74,2.26,1.69,2.13
12,Doha,Qatar Exxon Mobil Open,18/02/2025,ATP500,Outdoor,Hard,1st Round,3,Griekspoor T.,Struff J.L.,51,44,1080,1200,7,6,7,6,,,,,,,2,0,Completed,1.57,2.38,1.65,2.36,1.65,2.45,1.57,2.35
12,Doha,Qatar Exxon Mobil Open,18/02/2025,ATP500,Outdoor,Hard,1st Round,3,Rublev A.,Bublik A.,10,48,3220,1105,6,3,6,4,,,,,,,2,0,Completed,1.29,3.75,1.26,4.29,1.3,4.3,1.25,3.85
12,Doha,Qatar Exxon Mobil Open,18/02/2025,ATP500,Outdoor,Hard,1st Round,3,Medvedev D.,Khachanov K.,6,21,3930,2210,4,6,7,5,6,3,,,,,2,1,Completed,1.57,2.38,1.57,2.55,1.58,2.55,1.55,2.41
12,Doha,Qatar Exxon Mobil Open,18/02/2025,ATP500,Outdoor,Hard,1st Round,3,Auger-Aliassime F.,Halys Q.,23,79,1965,734,4,6,6,4,7,6,,,,,2,1,Completed,1.25,4,1.27,4.13,1.27,4.2,1.24,3.88
12,Doha,Qatar Exxon Mobil Open,18/02/2025,ATP500,Outdoor,Hard,1st Round,3,Berrettini M.,Djokovic N.,35,7,1430,3900,7,6,6,2,,,,,,,2,0,Completed,3.75,1.29,3.84,1.3,4.01,1.3,3.74,1.27
12,Doha,Qatar Exxon Mobil Open,18/02/2025,ATP500,Outdoor,Hard,1st Round,3,Medjedovic H.,Tsitsipas S.,73,11,782,3095,7,6,5,7,7,6,,,,,2,1,Completed,2.75,1.44,2.72,1.51,2.75,1.52,2.62,1.47
12,Doha,Qatar Exxon Mobil Open,19/02/2025,ATP500,Outdoor,Hard,2nd Round,3,De Minaur A.,Van De Zandschulp B.,8,87,3735,672,6,4,6,4,,,,,,,2,0,Completed,1.14,5.5,1.17,6.04,1.18,6.04,1.15,5.33
12,Doha,Qatar Exxon Mobil Open,19/02/2025,ATP500,Outdoor,Hard,2nd Round,3,Rublev A.,Borges N.,10,39,3220,1345,6,3,6,4,,,,,,,2,0,Completed,1.3,3.5,1.31,3.8,1.33,3.85,1.29,3.52
12,Doha,Qatar Exxon Mobil Open,19/02/2025,ATP500,Outdoor,Hard,2nd Round,3,Draper J.,O Connell C.,16,82,2680,730,6,2,6,1,,,,,,,2,0,Completed,1.2,4.5,1.24,4.61,1.24,4.61,1.21,4.33
12,Doha,Qatar Exxon Mobil Open,19/02/2025,ATP500,Outdoor,Hard,2nd Round,3,Medvedev D.,Bergs Z.,6,58,3930,1007,6,2,6,1,,,,,,,2,0,Completed,1.36,3.2,1.37,3.44,1.37,3.44,1.34,3.22
12,Doha,Qatar Exxon Mobil Open,19/02/2025,ATP500,Outdoor,Hard,2nd Round,3,Lehecka J.,Marozsan F.,25,57,1835,1010,6,4,6,2,,,,,,,2,0,Completed,1.3,3.5,1.37,3.39,1.37,3.6,1.32,3.33
12,Doha,Qatar Exxon Mobil Open,19/02/2025,ATP500,Outdoor,Hard,2nd Round,3,Auger-Aliassime F.,Medjedovic H.,23,73,1965,782,,,,,,,,,,,,,Walkover,1.2,4.5,1.25,4.45,1.25,4.5,1.22,4.22
12,Doha,Qatar Exxon Mobil Open,19/02/2025,ATP500,Outdoor,Hard,2nd Round,3,Alcaraz C.,Nardi L.,3,85,7410,674,6,1,4,6,6,3,,,,,2,1,Completed,1.03,15,1.03,20.74,1.04,20.74,1.02,14
12,Doha,Qatar Exxon Mobil Open,19/02/2025,ATP500,Outdoor,Hard,2nd Round,3,Berrettini M.,Griekspoor T.,35,51,1430,1080,7,6,6,7,6,4,,,,,2,1,Completed,1.4,3,1.47,2.9,1.47,3.17,1.38,2.97
12,Doha,Qatar Exxon Mobil Open,20/02/2025,ATP500,Outdoor,Hard,Quarterfinals,3,Rublev A.,De Minaur A.,10,8,3220,3735,6,1,3,6,7,6,,,,,2,1,Completed,2.2,1.67,2.38,1.65,2.38,1.71,2.21,1.65
12,Doha,Qatar Exxon Mobil Open,20/02/2025,ATP500,Outdoor,Hard,Quarterfinals,3,Auger-Aliassime F.,Medvedev D.,23,6,1965,3930,6,3,,,,,,,,,1,0,Retired,2.75,1.44,2.77,1.51,2.8,1.51,2.69,1.46
12,Doha,Qatar Exxon Mobil Open,20/02/2025,ATP500,Outdoor,Hard,Quarterfinals,3,Lehecka J.,Alcaraz C.,25,3,1835,7410,6,3,3,6,6,4,,,,,2,1,Completed,4,1.25,4.05,1.27,4.5,1.28,4.08,1.23
12,Doha,Qatar Exxon Mobil Open,20/02/2025,ATP500,Outdoor,Hard,Quarterfinals,3,Draper J.,Berrettini M.,16,35,2680,1430,4,6,6,4,6,3,,,,,2,1,Completed,1.67,2.2,1.69,2.3,1.71,2.3,1.66,2.21
12,Doha,Qatar Exxon Mobil Open,21/02/2025,ATP500,Outdoor,Hard,Semifinals,3,Rublev A.,Auger-Aliassime F.,10,23,3220,1965,7,5,4,6,7,6,,,,,2,1,Completed,1.67,2.2,1.69,2.31,1.74,2.31,1.67,2.18
12,Doha,Qatar Exxon Mobil Open,21/02/2025,ATP500,Outdoor,Hard,Semifinals,3,Draper J.,Lehecka J.,16,25,2680,1835,3,6,7,6,6,3,,,,,2,1,Completed,1.67,2.2,1.78,2.17,1.79,2.2,1.71,2.12
12,Doha,Qatar Exxon Mobil Open,22/02/2025,ATP500,Outdoor,Hard,The Final,3,Rublev A.,Draper J.,10,16,3220,2680,7,5,5,7,6,1,,,,,2,1,Completed,2,1.8,2.15,1.79,2.15,1.82,2.04,1.76
